symbol	kind	surface	version	provenance	c_type
json_util_get_last_err	function	shared	JSONC_0.14	header:json_util.h	const char *(void)
lh_char_equal	function	shared	JSONC_0.14	manual:original/linkhash.c	int (const void *, const void *)
lh_kchar_table_new	function	shared	JSONC_0.14	header:linkhash.h	struct lh_table *(int, lh_entry_free_fn *)
lh_kptr_table_new	function	shared	JSONC_0.14	header:linkhash.h	struct lh_table *(int, lh_entry_free_fn *)
lh_ptr_equal	function	shared	JSONC_0.14	manual:original/linkhash.c	int (const void *, const void *)
lh_table_delete	function	shared	JSONC_PRIVATE	header:linkhash.h	int (struct lh_table *, const void *)
lh_table_delete_entry	function	shared	JSONC_PRIVATE	header:linkhash.h	int (struct lh_table *, struct lh_entry *)
lh_table_free	function	shared	JSONC_PRIVATE	header:linkhash.h	void (struct lh_table *)
lh_table_insert	function	shared	JSONC_PRIVATE	header:linkhash.h	int (struct lh_table *, const void *, const void *)
lh_table_insert_w_hash	function	shared	JSONC_PRIVATE	header:linkhash.h	int (struct lh_table *, const void *, const void *, const unsigned long, const unsigned int)
lh_table_length	function	shared	JSONC_0.14	header:linkhash.h	int (struct lh_table *)
lh_table_lookup_entry	function	shared	JSONC_0.14	header:linkhash.h	struct lh_entry *(struct lh_table *, const void *)
lh_table_lookup_entry_w_hash	function	shared	JSONC_0.14	header:linkhash.h	struct lh_entry *(struct lh_table *, const void *, const unsigned long)
lh_table_lookup_ex	function	shared	JSONC_0.14	header:linkhash.h	json_bool (struct lh_table *, const void *, void **)
lh_table_new	function	shared	JSONC_PRIVATE	header:linkhash.h	struct lh_table *(int, lh_entry_free_fn *, lh_hash_fn *, lh_equal_fn *)
lh_table_resize	function	shared	JSONC_PRIVATE	header:linkhash.h	int (struct lh_table *, int)
mc_debug	function	shared	JSONC_PRIVATE	header:debug.h	void (const char *, ...)
mc_error	function	shared	JSONC_PRIVATE	header:debug.h	void (const char *, ...)
mc_get_debug	function	shared	JSONC_PRIVATE	header:debug.h	int (void)
mc_info	function	shared	JSONC_PRIVATE	header:debug.h	void (const char *, ...)
mc_set_debug	function	shared	JSONC_PRIVATE	header:debug.h	void (int)
mc_set_syslog	function	shared	JSONC_PRIVATE	header:debug.h	void (int)
printbuf_free	function	shared	JSONC_PRIVATE	header:printbuf.h	void (struct printbuf *)
printbuf_memappend	function	shared	JSONC_PRIVATE	header:printbuf.h	int (struct printbuf *, const char *, int)
printbuf_memset	function	shared	JSONC_PRIVATE	header:printbuf.h	int (struct printbuf *, int, int, int)
printbuf_new	function	shared	JSONC_PRIVATE	header:printbuf.h	struct printbuf *(void)
printbuf_reset	function	shared	JSONC_PRIVATE	header:printbuf.h	void (struct printbuf *)
sprintbuf	function	shared	JSONC_PRIVATE	header:printbuf.h	int (struct printbuf *, const char *, ...)
json_hex_chars	data	shared	JSONC_PRIVATE	manual:original/json_object_private.h	const char *
json_number_chars	data	shared	JSONC_0.14	manual:original/json_object.c	const char *
